
"Repository,Repository ID,Tool,Alert Number,Severity,Created At,Updated At,Resolved At,Reopened At,Resolved Reason,Secret Bypassed,Secret Type,Secret Provider,Secret Validity,GHSA ID,Ecosystem,Package,Dependency Scope,CodeQL Rule,Third Party Tool Rule,Teams (truncated at 20 values),Repository Visibility,Repository Topics,Repository Archived,Custom Property: Language,Custom Property: MicroservicesLanguage,Custom Property: Type"
"bdsoflow/web-dotnet-service-oca-framework",914895231,"secret-scanning",2,,"2025-02-13T16:00:26Z","2025-02-13T16:00:26Z",,,,false,"azure_event_hub_key_identifiable","Azure Event Hub Key Identifiable","unknown",,,,,,,,"internal",,,,,
"bdsoflow/web-dotnet-service-oca-framework",914895231,"secret-scanning",1,,"2025-02-13T16:00:26Z","2025-02-13T16:00:26Z",,,,false,"azure_active_directory_application_secret","Azure Active Directory Application Secret","unknown",,,,,,,,"internal",,,,,
"bdsoflow/airflw-workspace",707128690,"secret-scanning",1,,"2024-09-30T16:04:02Z","2024-11-20T14:06:04Z","2024-11-20T14:06:04Z",,,false,"azure_active_directory_application_secret","Azure Active Directory Application Secret","unknown",,,,,,,,"internal","Airflow DAGs (DEV, QUA, PRD)",,,,
"bdsoflow/nb-smarter-android",844950781,"secret-scanning",3,,"2024-09-25T16:45:36Z","2024-12-10T07:38:31Z","2024-12-10T07:38:31Z",,"This alert is not relevant; the API key is required to build the project.",false,"google_api_key","Google API Key","active",,,,,,,,"internal","native app for Android devices",,,,
"bdsoflow/nb-smarter-android",844950781,"secret-scanning",2,,"2024-09-25T16:45:36Z","2024-12-10T07:39:17Z","2024-12-10T07:39:17Z",,"This alert is not relevant; the API key is required to build the project.",false,"google_api_key","Google API Key","active",,,,,,,,"internal","native app for Android devices",,,,
"bdsoflow/nb-smarter-android",844950781,"secret-scanning",1,,"2024-09-25T16:45:35Z","2024-12-10T07:39:30Z","2024-12-10T07:39:30Z",,"This alert is not relevant; the API key is required to build the project.",false,"google_api_key","Google API Key","active",,,,,,,,"internal","native app for Android devices",,,,
"bdsoflow/fabric-raw-ingestion-platform",856827210,"secret-scanning",1,,"2024-09-23T14:37:48Z","2024-11-20T14:03:01Z","2024-11-20T14:03:01Z",,,false,"azure_active_directory_application_secret","Azure Active Directory Application Secret","unknown",,,,,,,,"internal",,,,,
"bdsoflow/data-ingestion-code",750393855,"secret-scanning",1,,"2024-09-23T13:21:05Z","2024-09-23T13:21:05Z",,,,false,"azure_active_directory_application_secret","Azure Active Directory Application Secret","unknown",,,,,,,,"internal","Data Ingestion scripts/code (pyspark, ...) for novobanco Data Strategy Initiative",,,,
"bdsoflow/terraform-azure-infra",733528336,"secret-scanning",1,,"2024-09-23T13:20:47Z","2024-09-23T13:20:47Z",,,,false,"azure_active_directory_application_secret","Azure Active Directory Application Secret","unknown",,,,,,,,"internal","Terraform artifacts - Azure infrastructure provisioning",,,,
    
